t,pos,vel,u,pref
4.87,0.907799,0.071105,0.924558, 1
4.88,0.90851,0.0705615,0.924558, 1
4.89,0.909216,0.0700164,0.924558, 1
4.9,0.909916,0.0694696,0.924558, 1
4.91,0.910611,0.0689756,0.929984, 1
4.92,0.911301,0.0684796,0.929984, 1
4.93,0.911985,0.0679816,0.929984, 1
4.94,0.912665,0.0674818,0.929984, 1
4.95,0.91334,0.0669802,0.929984, 1
4.96,0.91401,0.0664768,0.929984, 1
4.97,0.914675,0.0659718,0.929984, 1
4.98,0.915334,0.0654651,0.929984, 1
4.99,0.915989,0.064957,0.929984, 1
5,0.916638,0.0644474,0.929984, 1
5.01,0.917283,0.0639869,0.935043, 1
5.02,0.917923,0.0635247,0.935043, 1
5.03,0.918558,0.0630606,0.935043, 1
5.04,0.919189,0.0625949,0.935043, 1
5.05,0.919815,0.0621275,0.935043, 1
5.06,0.920436,0.0616585,0.935043, 1
5.07,0.921052,0.061188,0.935043, 1
5.08,0.921664,0.060716,0.935043, 1
5.09,0.922272,0.0602426,0.935043, 1
5.1,0.922874,0.0597679,0.935043, 1
5.11,0.923472,0.0593391,0.939757, 1
5.12,0.924065,0.0589085,0.939757, 1
5.13,0.924654,0.0584764,0.939757, 1
5.14,0.925239,0.0580426,0.939757, 1
5.15,0.925819,0.0576074,0.939757, 1
5.16,0.926395,0.0571707,0.939757, 1
5.17,0.926967,0.0567326,0.939757, 1
5.18,0.927534,0.0562932,0.939757, 1
5.19,0.928097,0.0558525,0.939757, 1
5.2,0.928656,0.0554106,0.939757, 1
5.21,0.92921,0.0550114,0.944148, 1
5.22,0.92976,0.0546106,0.944148, 1
5.23,0.930306,0.0542084,0.944148, 1
5.24,0.930848,0.0538047,0.944148, 1
5.25,0.931386,0.0533997,0.944148, 1
5.26,0.93192,0.0529933,0.944148, 1
5.27,0.93245,0.0525856,0.944148, 1
5.28,0.932976,0.0521767,0.944148, 1
5.29,0.933498,0.0517667,0.944148, 1
5.3,0.934016,0.0513555,0.944148, 1
5.31,0.934529,0.0509841,0.948233, 1
5.32,0.935039,0.0506113,0.948233, 1
5.33,0.935545,0.0502372,0.948233, 1
5.34,0.936047,0.0498617,0.948233, 1
5.35,0.936546,0.0494849,0.948233, 1
5.36,0.937041,0.049107,0.948233, 1
5.37,0.937532,0.0487278,0.948233, 1
5.38,0.938019,0.0483475,0.948233, 1
5.39,0.938503,0.0479662,0.948233, 1
5.4,0.938982,0.0475839,0.948233, 1
5.41,0.939458,0.0472385,0.952034, 1
5.42,0.939931,0.0468919,0.952034, 1
5.43,0.940399,0.046544,0.952034, 1
5.44,0.940865,0.0461949,0.952034, 1
5.45,0.941327,0.0458447,0.952034, 1
5.46,0.941785,0.0454933,0.952034, 1
5.47,0.94224,0.0451408,0.952034, 1
5.48,0.942692,0.0447874,0.952034, 1
5.49,0.94314,0.0444329,0.952034, 1
5.5,0.943584,0.0440775,0.952034, 1
5.51,0.944025,0.0437566,0.955567, 1
5.52,0.944462,0.0434344,0.955567, 1
5.53,0.944897,0.0431111,0.955567, 1
5.54,0.945328,0.0427867,0.955567, 1
5.55,0.945756,0.0424613,0.955567, 1
5.56,0.94618,0.0421348,0.955567, 1
5.57,0.946601,0.0418073,0.955567, 1
5.58,0.94702,0.0414789,0.955567, 1
5.59,0.947434,0.0411496,0.955567, 1
5.6,0.947846,0.0408194,0.955567, 1
5.61,0.948254,0.0405212,0.95885, 1
5.62,0.948659,0.040222,0.95885, 1
5.63,0.949061,0.0399217,0.95885, 1
5.64,0.949461,0.0396204,0.95885, 1
5.65,0.949857,0.039318,0.95885, 1
5.66,0.95025,0.0390148,0.95885, 1
5.67,0.95064,0.0387107,0.95885, 1
5.68,0.951027,0.0384057,0.95885, 1
5.69,0.951411,0.0380998,0.95885, 1
5.7,0.951792,0.0377932,0.95885, 1
5.71,0.95217,0.0375164,0.9619, 1
5.72,0.952545,0.0372385,0.9619, 1
5.73,0.952918,0.0369597,0.9619, 1
5.74,0.953287,0.0366799,0.9619, 1
5.75,0.953654,0.0363992,0.9619, 1
5.76,0.954018,0.0361177,0.9619, 1
5.77,0.954379,0.0358353,0.9619, 1
5.78,0.954738,0.0355522,0.9619, 1
5.79,0.955093,0.0352683,0.9619, 1
5.8,0.955446,0.0349837,0.9619, 1
5.81,0.955796,0.0347267,0.964732, 1
5.82,0.956143,0.0344688,0.964732, 1
5.83,0.956488,0.03421,0.964732, 1
5.84,0.95683,0.0339503,0.964732, 1
5.85,0.957169,0.0336898,0.964732, 1
5.86,0.957506,0.0334286,0.964732, 1
5.87,0.957841,0.0331665,0.964732, 1
5.88,0.958172,0.0329038,0.964732, 1
5.89,0.958501,0.0326403,0.964732, 1
5.9,0.958828,0.0323762,0.964732, 1
5.91,0.959151,0.0321378,0.96736, 1
5.92,0.959473,0.0318985,0.96736, 1
5.93,0.959792,0.0316584,0.96736, 1
5.94,0.960108,0.0314175,0.96736, 1
5.95,0.960423,0.0311758,0.96736, 1
5.96,0.960734,0.0309334,0.96736, 1
5.97,0.961044,0.0306903,0.96736, 1
5.98,0.961351,0.0304466,0.96736, 1
5.99,0.961655,0.0302022,0.96736, 1
6,0.961957,0.0299572,0.96736, 1
6.01,0.962257,0.0297361,0.969798, 1
6.02,0.962554,0.0295141,0.969798, 1
6.03,0.962849,0.0292914,0.969798, 1
6.04,0.963142,0.029068,0.969798, 1
6.05,0.963433,0.0288439,0.969798, 1
6.06,0.963721,0.0286191,0.969798, 1
6.07,0.964007,0.0283937,0.969798, 1
6.08,0.964291,0.0281676,0.969798, 1
6.09,0.964573,0.027941,0.969798, 1
6.1,0.964852,0.0277139,0.969798, 1
6.11,0.96513,0.0275088,0.972059, 1
6.12,0.965405,0.027303,0.972059, 1
6.13,0.965678,0.0270965,0.972059, 1
6.14,0.965949,0.0268894,0.972059, 1
6.15,0.966217,0.0266816,0.972059, 1
